taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Sphenoderiidae;Trachelocorythion	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Tracheleuglypha	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Trinematidae	family					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Trinematidae;Playfairina	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Trinematidae;Puytoracia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Trinematidae;Corythion	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Euglyphina;Trinematidae;Trinema	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Paulinellidae	family					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Paulinellidae;Micropyxidiella	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Paulinellidae;Ovulinata	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Euglyphida;Paulinellidae;Paulinella	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida	order		Shirkina 1987			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Cowlomonas	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Esquamula	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Peregriniidae	family					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Peregriniidae;Gyromitus	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Peregriniidae;Peregrinia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae	family					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Allas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Hyaloselene	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Ovaloplaca	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Penardeugenia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Reckertia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Scutellomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatomastix	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatospina	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;'Tconstricta clade'						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;'Tseravini clade'						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Imbricatea;Thaumatomonadida;'MF1 clade'						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Kraken	genus		Dumack et al. 2016			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Pansomonadida	family		Vickerman in Vickerman et al. 2005			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Pansomonadida;Agitata	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Pansomonadida;Aurigamonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida	order		Cavalier-Smith 2018			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;Brevimastigomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;Metabolomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;Nucleocercomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;Paracercomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;Phytocercomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Paracercomonadida;'Pbassi clade'	genus	true				P. bassi is distant from other members of genus Paracercomonas
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Acantholus	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Cholamonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Guttulinopsidae	family		Olive 1970			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Guttulinopsidae;Guttulinopsis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Guttulinopsidae;Olivorum	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Guttulinopsidae;Puppisaman	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Guttulinopsidae;Rosculus	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Helkesimastix	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Homocognata	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;Sainouron	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Sainouroidea;'Kern1-exLh lineage'	genus	true				
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea			Cavalier-Smith 2011			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae	family				Novel Clade 4	
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Chlamydophrys	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Clypeolina	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Leptochlamydophrys	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Diaphoropodon	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Lecythium	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Chlamydophryidae;Trachyrhizium	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida	order		Cavalier-Smith 1993			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Cryothecomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Protaspa	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Rhogostomidae	family					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Rhogostomidae;Capsellina	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Rhogostomidae;Rhogostoma	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;Rhogostomidae;Sacciforma	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;'Pobliqua clade'	genus	true				P. obliqua does not branch with genus Protaspa
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;'CYSGM-10 clade'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;'DSGM-47 clade'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Cryomonadida;'WHOI-LI1-14 clade'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;'CYSGM-14 clade'	genus	true				entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea			Lemmermann 1901			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea;'core ebriids'						18S-based group; Botuliforma and Ebria form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea;'core ebriids';Botuliforma	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea;'core ebriids';Ebria	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea;'core ebriids';Hermesinum	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Ebriacea;'TAGIRI1 clade'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Matazida						only one described genus Mataza in this group, but contains environmental lineages of unknown morphology
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Matazida;Mataza	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea			Haeckel 1879			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade A'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade A';Challengeron	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade A';Protocystis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade B'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade C'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade C';Porospathis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade D-E'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade D-E';Auloscena	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade D-E';Sagoscena	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade D-E';Tuscaretta	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade F'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade G'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade G';Coelodendrum	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade H'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade H';Conchellium	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade I'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade I';Aulacantha	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade J'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade J';Phaeodina	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade K'						18S-based group
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade K';Auloceros	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;'Phaeo clade K';Aulographis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;Gazelletta	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Phaeodarea;Medusetta	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Tectofilosida	order		Cavalier-Smith 2003			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Tectofilosida;Fisculla	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Tectofilosida;Omnivora	genus		Dumack 2020 in Dumack et al. 2020			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Tectofilosida;Pseudodifflugia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Thecofilosea;Tectofilosida;Rhizaspis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Ventricleftida	order		Cavalier-Smith 2011			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Ventricleftida;Ventrifissura	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Ventricleftida;Verrucomonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Ventricleftida;'CCW10 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';Ventricleftida;'NPKS2_52 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'crown cercozoa';'WIM11 lineage'	genus	true				entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea	class		Hibberd & Norris 1984		Chlorarachniophyta; Chlorarachnida	
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans'						18S-based group; Chlorarachniophyceae and Minorisa form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Amorphochlora	genus		Ishida, Yabuki & Ota 2010			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Bigelowiella	genus		Moestrup 2001			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Chlorarachnion	genus		Geitler 1930			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Cryptochlora	genus		Calderon-Saenz & Schnetter 1987			no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Gymnochlora	genus		Ishida & Hara 1995			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Lotharella	genus		Ishida & Hara 1995			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Norrisiella	genus		Ota & Ishida 2007			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Partenskyella	genus		Ota,Vaulot & Ishida 2009			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';Chlorarachniophyceae;Viridiuvalis	genus		Shiratori et al. 2017			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';'Minorisa lineage'						only one described genus Minorisa in this group, but contains environmental lineages of unknown morphology
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'core chlorarachneans';'Minorisa lineage';Minorisa	genus		del Campo 2013			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'LC104_3EP_8 lineage'						
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'LC104_3EP_8 lineage';Rhabdamoeba	genus		Dunkerly 1921			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Chlorarachnea;'NOR26.21 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea	class		Cavalier-Smith & Bass 2009			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida	family		Claus 1874			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Actinosphaeridium	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Cienkowskya	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Penardiophrys	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Servetia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Clathrulina	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Hedriocystis	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Apogromia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Belaria	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Ditrema	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Heliomorpha	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Kibisidytes	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Leucodictyon	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Microcometes	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Microgromia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Paralieberkuehnia	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Limnofila	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Massisteria	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Minimassisteria	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Mesofila	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Nanofila	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;Reticulamoeba	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran1 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran2 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran3 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran4 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran5 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'Gran6 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Granofilosea;'he2 lineage'	genus	true				entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Metromonadea	class		Cavalier-Smith 2011			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Metromonadea;Kiitoksia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Metromonadea;Metopion	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Metromonadea;Metromonas	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;Metromonadea;Micrometopion	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Cercozoa;'RM2 lineage'						entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa			Bass & Berney in Adl et al. 2019			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza'						18S-based group; Phytomyxea and Vampyrellida form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea	class		Engler & Prantl 1897			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids'						18S-based group; Phagomyxida, Plasmodiophorida and Marinomyxa form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';'Tagiri5 lineage'						only one described genus Marinomyxa in this group, but contains environmental lineages of unknown morphology
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';'Tagiri5 lineage';Marinomyxa	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Phagomyxida	order		Cavalier-Smith 1993			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Phagomyxida;Maullinia	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Phagomyxida;Phagomyxa	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Phagomyxida;'ERHTS lineage'	genus	true				
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida	order		Cook 1928			
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;Plasmodiophora	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;Spongospora	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;Woronina	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;'PS lineage'						18S-based group; Polymyxa, Sorosphaerula, and related genera
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;'PS lineage';Ligniera	genus					
Eukaryota;Diaphoretickes;Sar;Rhizaria;Endomyxa;'phytorhiza';Phytomyxea;'core phytomyxids';Plasmodiophorida;'PS lineage';Polymyxa	genus					
