taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Speleostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Tieghemostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Synstelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria			Macbride 1899		Myxomycetes	
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia			Cavalier-Smith 2013			
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;Echinosteliopsis	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;Clastoderma	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'core echinosteliids'						18S-based group
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'core echinosteliids';Echinostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'core echinosteliids';Barbeyella	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'core echinosteliids';Semimorula	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade'						18S-based group; Physarales, Stemonitis, and related taxa
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';Meriderma						
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade'						18S-based group; Comatricha and related taxa
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Amaurochaete	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Brefeldia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Comatricha	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Enerthenema	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Paradiacheopsis	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Stemonitis clade'						18S-based group; Stemonitis and related taxa
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Stemonitis clade';Macbrideola	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Stemonitis clade';Stemonitis	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Stemonitis clade';Stemonitopsis	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Stemonitis clade';Symphytocarpus	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage'						18S-based group; Lamproderma, Diacheopsis, Physarales, and related taxa
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Colloderma	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Diacheopsis	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Elaeomyxa	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Kelleromyxa	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Lamproderma	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Diachea	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Diderma	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Didymium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Lepidoderma	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Mucilago	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Protophysarum	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Pseudodidymium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae	family		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Physarum	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Badhamia	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Craterium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Fuligo	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Physarella	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia			Cavalier-Smith 2013
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Cribrariidae	family		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Cribrariidae;Cribraria	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Cribrariidae;Lindbladia	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Reticulariidae	family		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Reticulariidae;Reticularia	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Reticulariidae;Lycogala	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;Reticulariidae;Tubifera	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage'						18S-based group; Arcyria, Licea, Trichiidae, and related taxa
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Arcyria	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Dictydiaethalium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Hemitrichia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Licea	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Perichaena	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Prototrichia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Dianemidae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Dianemidae;Dianema	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Dianemidae;Calomyxa	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Trichiidae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Trichiidae;Trichia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Trichiidae;Cornuvia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Trichiidae;Metatrichia	genus					
